Rating,Entity Name,State,County,City,Sector,Entity Type,Region
39,"Center Line City Clerk, Macomb, MI",MI,Macomb County,Center Line,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
59,"Center Harbor Town Clerk, Belknap, NH",NH,Belknap County,Center Harbor,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
36,Center For Family Services,NJ,Camden County,Voorhees Township,Healthcare and Public Health,Private CI Entity,Region 2
78,Centennial Public School,NE,Seward County,Utica,Government Facilities,Local Tribal Territory,Region 7
50,Centennial Bank,AR,Faulkner County,Conway,Financial Services,Private CI Entity,Region 6
60,Cenero LLC,PA,Chester County,Malvern,Information Technology,Private CI Entity,Region 3
67,"Cedarville Township Election Commission, Menominee, MI",MI,Menominee County,Cedar River,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
67,"Cedarville Township Clerk, Menominee, MI",MI,Menominee County,Cedar River,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
96,"Cedarburg Town Clerk, Ozaukee, WI",WI,Ozaukee County,Cedarburg,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
56,Cedarburg School District,WI,Ozaukee County,Cedarburg,Government Facilities,Local Tribal Territory,Region 5
60,"Cedarburg City Clerk, Ozaukee, WI",WI,Ozaukee County,Cedarburg,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
46,"Cedar Township Election Commission, Osceola, MI",MI,Osceola County,Reed City,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
85,"Cedar Township Clerk, Osceola, MI",MI,Osceola County,Reed City,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
72,"Cedar Springs City Election Commission, Kent, MI",MI,Kent County,Cedar Springs,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
23,"Cedar Springs City Clerk, Kent, MI",MI,Kent County,Cedar Springs,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
51,"Cedar Rapids Town Clerk, Rusk, WI",WI,Rusk County,Glen Flora,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
93,"Cedar Lake Town Clerk, Barron, WI",WI,Barron County,Mikana,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
47,"Cedar Labs, LLC",MN,Hennepin County,Minneapolis,Information Technology,Private CI Entity,Region 5
68,Cedar Knox Power District,NE,Cedar County,Hartington,Energy,Local Tribal Territory,Region 7
56,"Cedar Grove Village Clerk, Sheboygan, WI",WI,Sheboygan County,Cedar Grove,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
57,"Cedar Creek Township Election Commission, Wexford, MI",MI,Wexford County,Manton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
38,"Cedar Creek Township Election Commission, Muskegon, MI",MI,Muskegon County,Twin Lake,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
46,"Cedar Creek Township Clerk, Wexford, MI",MI,Wexford County,Manton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
73,"Cedar Creek Township Clerk, Muskegon, MI",MI,Muskegon County,Twin Lake,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
66,"Cedar County, NE",NE,Cedar County,Hartington,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 7
90,"Cedar County Clerk, Cedar, MO",MO,Cedar County,Stockton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 7
85,"Cedar County Auditor, Cedar, IA",IA,Cedar County,Tipton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 7
60,"Cecil Village Clerk, Shawano, WI",WI,Shawano County,Cecil,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
67,Cecil County Public Schools,MD,Cecil County,Elkton,Government Facilities,Local Tribal Territory,Region 3
57,"Cazenovia Village Clerk, Richland/Sauk, WI",WI,Sauk County,Cazenovia,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
41,Cayuga Home for Children,NY,Cayuga County,Auburn,,Private CI Entity,Region 2
62,"Cayuga County, New York",NY,Cayuga County,Auburn,"Emergency Services, Government Facilities, Transportation Systems, Water and WasteWater Systems",Local Tribal Territory,Region 2
59,"Cayuga County Board of Elections, Cayuga, NY",NY,Cayuga County,Auburn,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 2
51,"Cayuga Community College, NY",NY,Cayuga County,Auburn,Government Facilities,Local Tribal Territory,Region 2
51,"Cavendish Town Treasurer, Windsor, VT",VT,Windsor County,Cavendish,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
51,"Cavendish Town Clerk, Windsor, VT",VT,Windsor County,Cavendish,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
29,"Cavalier County, ND",ND,Cavalier County,Langdon,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 8
41,"Cavalier County Auditor, Cavalier, ND",ND,Cavalier County,Langdon,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 8
50,"Cattaraugus County, New York",NY,Cattaraugus County,Little Valley,"Emergency Services, Government Facilities, Transportation Systems, Water and WasteWater Systems",Local Tribal Territory,Region 2
47,"Cattaraugus County Board of Elections, Cattaraugus, NY",NY,Cattaraugus County,Little Valley,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 2
35,"Catron County Clerk, Catron, NM",NM,Catron County,Reserve,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
97,"Catoosa County Board of Elections and Registrar, Catoosa, GA",GA,Catoosa County,Ringgold,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
58,"Cato Township Election Commission, Montcalm, MI",MI,Montcalm County,Lakeview,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
49,"Cato Township Clerk, Montcalm, MI",MI,Montcalm County,Lakeview,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
56,"Cato Town Clerk, Manitowoc, WI",WI,Manitowoc County,Reedsville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
49,Catlin Gabel School,OR,Washington County,Portland,Government Facilities,Private CI Entity,Region 10
66,Catholics United Credit Union,KS,Reno County,South Hutchinson,Financial Services,Private CI Entity,Region 7
60,Catholic Health System,NY,Erie County,Buffalo,Healthcare and Public Health,Private CI Entity,Region 2
69,Catholic Diocese of Cleveland,OH,Cuyahoga County,Cleveland,Commercial Facilities,Private CI Entity,Region 5
31,"Catawba County Board of Elections, Catawba, NC",NC,Catawba County,Newton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
73,Catalysis LLC,WA,King County,Seattle,Chemical,Private CI Entity,Region 10
