Rating,Entity Name,State,County,City,Sector,Entity Type,Region
61,GSA - General Services Administration (GSA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Information Technology, Transportation Systems",FCEB,Region 3
73,Federal Trade Commission (FTC) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
79,Federal Retirement Thrift Investment Board (FRTIB) - CISA,AL,Shelby County,Birmingham,"Financial Services, Government Facilities",FCEB,Region 4
88,Federal Permitting Improvement Steering Council (FPISC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
73,Federal Mine Safety and Health Review Commission (FMSHRC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
51,Federal Mediation and Conciliation Service (FMCS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
39,Federal Maritime Commission (FMC) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
51,Federal Labor Relations Authority (FLRA) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
69,Federal Housing Finance Agency (FHFA) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
65,Federal Energy Regulatory Commission (FERC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
64,Federal Deposit Insurance Corporation (FDIC) - CISA,MO,Jackson County,KCMO,"Financial Services, Government Facilities",FCEB,Region 7
57,Federal Communications Commission (FCC) - CISA,DC,District of Columbia,Washington,"Communications, Government Facilities",FCEB,Region 3
51,Farm Credit System Insurance Corporation (FCSIC) - CISA,VA,Fairfax County,McLean,"Financial Services, Government Facilities",FCEB,Region 3
51,Farm Credit Administration (FCA)  - CISA,VA,Fairfax County,McLean,"Financial Services, Government Facilities",FCEB,Region 3
65,FRB - Federal Reserve System (FRS) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
65,Export-Import Bank (EXIM) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
69,Equal Employment Opportunity Commission (EEOC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
52,Environmental Protection Agency (EPA) - CISA,DC,District of Columbia,Washington,"Chemical, Energy, Government Facilities, Nuclear Reactors Materials and Water, Water and WasteWater Systems",FCEB,Region 3
82,Election Assistance Commission (EAC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
70,ED - Office of Federal Student Aid (FSA) - CISA,KY,Wayne County,Monticello,"Financial Services, Government Facilities",FCEB,Region 4
54,ED - Department of Education (ED) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
65,Department of Veterans Affairs (VA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
74,Denali Commission - CISA,AK,Anchorage Borough,Anchorage,"Energy, Government Facilities, Healthcare and Public Health, Transportation Systems, Water and WasteWater Systems",FCEB,Region 10
40,DOT - Unified Carrier Registration Plan (UCR) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
62,DOL - Department of Labor (DOL) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
67,DOJ - U.S. Marshals Service (USMS) - CISA,VA,Arlington County,Arlington,"Emergency Services, Government Facilities",FCEB,Region 3
49,DOJ - Office of Special Counsel (OSC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
58,DOJ - Office of Inspector General (OIG) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
60,DOJ - National Crime Prevention and Privacy Compact Council - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
34,DOJ - Federal Bureau of Prisons (BOP) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
68,DOJ - Federal Bureau of Investigation (FBI) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities",FCEB,Region 3
57,DOJ - Drug Enforcement Administration (DEA) - CISA,VA,Fairfax County,Springfield,"Emergency Services, Government Facilities",FCEB,Region 3
51,DOJ - Department of Justice (DOJ) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities",FCEB,Region 3
38,DOJ - Coordinating Council on Juvenile Justice and Delinquency Prevention - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
55,"DOJ - Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) - CISA",DC,District of Columbia,Washington,"Emergency Services, Government Facilities",FCEB,Region 3
66,DOI - United States Geological Survey (USGS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
60,DOI - National Park Service (NPS) - CISA,DC,District of Columbia,Washington,"Commercial Facilities, Government Facilities",FCEB,Region 3
61,DOI - National Indian Gaming Commission (NIGC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
63,DOI - Fish and Wildlife Service (FWS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
64,DOI - Department of the Interior (DOI) - CISA,DC,District of Columbia,Washington,"Commercial Facilities, Dams, Government Facilities, Water and WasteWater Systems",FCEB,Region 3
61,DOI - Bureau of Reclamation (BOR) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
55,DOI - Bureau of Land Management (BLM) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
75,DOC - United States Census Bureau (USCB) - CISA,MD,Prince George,Suitland-Silver Hill,Government Facilities,FCEB,Region 3
64,DOC - U.S. Patent and Trademark Office (USPTO) - CISA,VA,Alexandria city,Alexandria,Government Facilities,FCEB,Region 3
55,DOC - National Telecommunications and Information Administration (NTIA) - CISA,DC,District of Columbia,Washington,"Communications, Government Facilities",FCEB,Region 3
45,DOC - National Technical Information Service (NTIS) - CISA,VA,Fairfax County,Alexandria,"Communications, Government Facilities",FCEB,Region 3
43,DOC - National Oceanic and Atmospheric Administration (NOAA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Information Technology",FCEB,Region 3
61,DOC - National Institute of Standards and Technology (NIST) - CISA,MD,Montgomery County,Gaithersburg,"Communications, Government Facilities",FCEB,Region 3
58,DOC - International Trade Administration (ITA) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
56,DOC - Department of Commerce (DOC) - CISA,DC,District of Columbia,Washington,"Communications, Government Facilities",FCEB,Region 3
62,DOC - Bureau of Economic Analysis (BEA) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
72,DHS - United States Secret Service (USSS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
44,DHS - United States Coast Guard (USCG) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities, Transportation Systems",FCEB,Region 3
68,DHS - Transportation Security Administration (TSA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
70,DHS - Immigration and Customs Enforcement (ICE) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
52,DHS - Federal Protective Service (FPS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
68,DHS - Federal Law Enforcement Training Center (FLETC) - CISA,GA,Glynn County,Dock Junction,Government Facilities,FCEB,Region 4
57,DHS - Federal Emergency Management Agency (FEMA) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities",FCEB,Region 3
67,DHS - Department of Homeland Security (DHS) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities, Information Technology, Transportation Systems",FCEB,Region 3
67,DHS - Cybersecurity and Infrastructure Security Agency (CISA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Information Technology",FCEB,Region 3
75,DHS - Customs and Border Protection (CBP) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
64,DHS - Citizenship and Immigration Services (CIS) - CISA,MD,Prince George,Camp Springs,Government Facilities,FCEB,Region 3
67,Court Services and Offender Supervision Agency for the District of Columbia (CSOSA) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities",FCEB,Region 3
46,Council of the Inspectors General on Integrity and Efficiency (CIGIE) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
40,Corporation for National and Community Service (CNCS)(Americorps) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities",FCEB,Region 3
67,Consumer Product Safety Commission (CPSC) - CISA,MD,Montgomery County,Bethesda,Government Facilities,FCEB,Region 3
75,Consumer Financial Protection Bureau (CFPB) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
52,Commodity Futures Trading Commission (CFTC) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
71,Committee for Purchase from People Who Are Blind or Severely Disabled (CPPBSD)(AbilityOne) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
23,Commission of Fine Arts (CFA) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
72,Civil Rights Commission (USCCR) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
77,Chemical Safety Board (CSB) - CISA,DC,District of Columbia,Washington,"Chemical, Government Facilities",FCEB,Region 3
66,Board of Governors of the Federal Reserve (FRB) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
39,Armed Forces Retirement Home (AFRH) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
54,American Battle Monuments Commission (ABMC) - CISA,VA,Arlington County,Arlington,Government Facilities,FCEB,Region 3
41,African Development Foundation (ADF) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
53,Advisory Council on Historic Preservation (ACHP) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
56,Administrative Conference of the United States (ACUS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
